Time,Roll_calc,Pitch_calc,Heading_calc,Pitch_octans,Roll_octans,Heading_octans,Roll_diff,Pitch_diff,Heading_diff
10:52:26,4.339693056633628,2.4716245742302765,0.038469332502563805,-0.77,0.15,124.58,4.189693056633628,3.2416245742302765,-124.54153066749744
10:52:27,4.533423206033182,2.381437191064227,0.04138102007706512,-0.82,0.36,124.62,4.173423206033181,3.201437191064227,-124.57861897992294
10:52:28,4.616584127017024,2.3305729707647447,0.042336305767238215,-0.85,0.5,124.67,4.116584127017024,3.1805729707647448,-124.62766369423277
10:52:29,4.652042668938604,2.3027382538140357,0.04261755310753878,-0.85,0.55,124.71,4.102042668938604,3.152738253814036,-124.66738244689246
10:52:30,4.581615103683872,2.34189147467863,0.041780040112766675,-0.84,0.51,124.75,4.071615103683873,3.18189147467863,-124.70821995988723
10:52:31,4.4530838079213835,2.416847741512677,0.040180461695870265,-0.82,0.39,124.77,4.063083807921384,3.2368477415126766,-124.72981953830413
10:52:37,4.08107775972943,2.1717425371360033,0.02911753948685809,-0.41,0.04,124.32,4.04107775972943,2.5817425371360034,-124.29088246051313
10:52:38,4.206755497088853,2.042622491244596,0.02992836717077799,-0.38,0.26,124.18,3.946755497088853,2.4226224912445957,-124.15007163282922
10:52:39,4.390784593275546,1.9918704820914113,0.03262059952941504,-0.42,0.46,124.04,3.930784593275546,2.411870482091411,-124.0073794004706
10:52:40,4.522452968463279,2.0334438498653444,0.03567155537243322,-0.51,0.6,123.95,3.9224529684632787,2.543443849865344,-123.91432844462757
10:52:42,4.607316694627685,2.319688733061491,0.04196092829222945,-0.78,0.58,123.95,4.027316694627685,3.099688733061491,-123.90803907170778
10:52:43,4.499972228612366,2.5023638254610634,0.0425362553682777,-0.89,0.4,124.04,4.099972228612366,3.3923638254610635,-123.99746374463173
10:52:44,4.285426259742728,2.635795262910683,0.03949622755318315,-0.93,0.16,124.16,4.125426259742728,3.565795262910683,-124.12050377244681
10:52:45,4.0570883565426215,2.693127644790959,0.03472422003503623,-0.88,-0.05,124.28,4.107088356542621,3.573127644790959,-124.24527577996497
10:52:49,3.936734237840694,2.287698707951376,0.02749363448006954,-0.43,-0.12,124.18,4.056734237840694,2.717698707951376,-124.15250636551994
10:52:50,4.2269319900044,2.2377356543090916,0.03286939676999571,-0.5,0.13,124.08,4.0969319900044,2.7377356543090916,-124.04713060323
10:52:53,4.816023975459153,2.2829320067165058,0.045686209794671494,-0.88,0.71,123.97,4.106023975459153,3.1629320067165057,-123.92431379020533
10:52:54,4.74582331301687,2.2831934480928946,0.04423417578058457,-0.9,0.7,123.96,4.04582331301687,3.1831934480928945,-123.9157658242194
10:52:59,3.8738065291955794,2.261647525277687,0.025923416567941934,-0.38,-0.05,123.69,3.9238065291955793,2.641647525277687,-123.66407658343205
10:53:00,3.907501886930886,2.283824324095702,0.026845853668748153,-0.39,-0.04,123.6,3.947501886930886,2.673824324095702,-123.57315414633125
10:53:01,4.007488742876908,2.3255585111721206,0.02938958271196471,-0.46,0.01,123.52,3.997488742876908,2.7855585111721206,-123.49061041728802
10:53:03,4.198254229203736,2.517513532200952,0.03589366297203884,-0.72,0.13,123.47,4.0682542292037365,3.2375135322009516,-123.43410633702796
10:53:04,4.301711029916606,2.614448413478796,0.03958967394821787,-0.86,0.13,123.5,4.171711029916606,3.474448413478796,-123.46041032605179
10:53:05,4.329566863409788,2.7078325423491885,0.04155970002299058,-0.96,0.11,123.59,4.219566863409788,3.6678325423491884,-123.54844029997702
10:53:06,4.334821464756052,2.704642786044962,0.041643271801555984,-1.0,0.09,123.71,4.244821464756052,3.704642786044962,-123.66835672819843
10:53:07,4.305004641169575,2.627033235325946,0.03984157658990853,-0.95,0.09,123.83,4.215004641169575,3.5770332353259455,-123.79015842341009
10:53:08,4.266897002318473,2.4694252408967663,0.03680940187171079,-0.84,0.13,123.91,4.136897002318473,3.309425240896766,-123.87319059812829
10:53:09,4.240600405005686,2.286154714781797,0.03378985147035399,-0.66,0.22,123.93,4.020600405005686,2.9461547147817972,-123.89621014852965
10:53:10,4.2687832783807185,2.1349223674862916,0.032332093119652634,-0.51,0.31,123.89,3.9587832783807184,2.6449223674862914,-123.85766790688035
10:53:11,4.29612125993635,2.000810009509756,0.031020061129734856,-0.4,0.38,123.81,3.91612125993635,2.400810009509756,-123.77897993887026
10:53:12,4.237300802237019,2.0311468748549255,0.030346113042917244,-0.37,0.41,123.69,3.827300802237019,2.4011468748549256,-123.65965388695707
10:53:13,4.21199389511312,2.111149499772615,0.030917889651249385,-0.4,0.39,123.57,3.82199389511312,2.511149499772615,-123.53908211034874
10:53:15,4.206096467317328,2.358169199532752,0.034006622916703276,-0.59,0.25,123.36,3.9560964673173276,2.9481691995327517,-123.3259933770833
10:53:16,4.221141317668572,2.4116136109055177,0.03502851954368236,-0.67,0.18,123.3,4.041141317668572,3.0816136109055177,-123.26497148045631
10:53:17,4.167786702230091,2.4857280458087163,0.034797704703067825,-0.72,0.12,123.26,4.047786702230091,3.2057280458087165,-123.22520229529694
10:53:18,4.145813303291856,2.4894953187795643,0.03434978471554264,-0.72,0.1,123.25,4.045813303291856,3.209495318779564,-123.21565021528446
10:53:19,4.15710478174692,2.457452351212637,0.03420269224652261,-0.7,0.09,123.25,4.06710478174692,3.157452351212637,-123.21579730775348
10:53:20,4.152164786162799,2.427907194632334,0.03372355489139908,-0.67,0.11,123.27,4.0421647861627985,3.097907194632334,-123.2362764451086
10:53:21,4.171404918697247,2.4260410002393007,0.03412344568831843,-0.66,0.13,123.31,4.041404918697247,3.086041000239301,-123.27587655431168
10:53:22,4.17845049828837,2.4509704791309894,0.03459559850799034,-0.68,0.14,123.38,4.038450498288371,3.1309704791309896,-123.345404401492
10:53:23,4.205319740481728,2.4793914444908194,0.03556073864232647,-0.73,0.13,123.47,4.075319740481728,3.2093914444908194,-123.43443926135767
10:53:24,4.206186401092867,2.5271265164505867,0.036199114123660454,-0.76,0.1,123.57,4.1061864010928675,3.287126516450587,-123.53380088587633
10:53:25,4.200326334621465,2.530429291895673,0.036107695924093054,-0.78,0.08,123.66,4.120326334621465,3.310429291895673,-123.62389230407591
